version,Name,God_Class,Lazy_Class,Complex_Class,Large_Class,Refused_Request,Data_Class,Feature_Envy,Brain_Class,Hub_Like_Dependency,Class_Cyclic_Dependency,Unhealthy_Inheritance_Hierarchy,Long_Method,Long_Parameter_List,Shotgun_Surgery,Brain_Method,Unstable_Dependency,Package_Cyclic_Dependency,Total,Distinct_Count,Vulnerability
6.0.0,com.android.internal.os.KernelWakelockStats.Entry,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,
6.0.0,com.android.internal.os.BackgroundThread,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,7,3,
6.0.0,android.os.BatteryStats.HistoryPrinter,0,0,1,1,0,0,0,0,0,0,0,4,3,0,1,0,1,11,6,
6.0.0,com.android.internal.os.BatteryStatsHelper,0,0,1,1,0,0,1,0,0,1,1,24,34,1,0,0,0,64,8,
6.0.0,android.os.BatteryStats.Uid,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,1,17,3,
6.0.0,android.os.BatteryStats.Counter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,
6.0.0,android.os.BatteryStats.LongCounter,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,
6.0.0,android.os.BatteryStats.Timer,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,5,4,
6.0.0,android.os.BatteryStats.Uid.Sensor,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,
6.0.0,android.os.BatteryStats.Uid.Pkg,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,
6.0.0,android.os.BatteryStats.Uid.Pkg.Serv,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3,3,
6.0.0,android.os.BatteryStats.Uid.Proc,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,5,3,
6.0.0,android.os.BatteryStats.Uid.Proc.ExcessivePower,0,1,0,0,0,0,0,0,0,0,0,,,,,0,1,2,2,
6.0.0,android.os.BatteryStats.Uid.Wakelock,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,3,
6.0.0,android.widget.ViewFlipper,0,0,0,0,0,1,1,0,0,0,0,4,4,0,0,0,0,10,4,
6.0.0,android.content.BroadcastReceiver,0,0,0,1,0,1,0,0,0,0,0,4,13,0,0,5,0,24,5,
6.0.0,android.content.IntentFilter,1,0,1,1,0,0,1,0,0,0,0,29,66,6,0,5,0,110,8,1
6.0.0,android.content.res.TypedArray,0,0,0,1,0,0,0,0,0,0,0,37,38,23,0,1,0,100,5,
6.0.0,android.widget.RemoteViews,0,0,1,1,0,0,1,0,1,0,1,20,69,4,0,0,0,98,8,
6.0.0,android.widget.ViewAnimator,0,0,0,0,0,0,1,0,1,0,0,8,13,0,0,0,0,23,4,
6.0.0,com.android.framework.multidexlegacytestservices.manymethods.Big076,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
6.0.0,android.app.activity.LocalService,0,0,0,0,0,1,0,0,0,0,0,4,4,0,0,0,0,9,3,
6.0.0,android.app.Service,0,0,0,0,0,1,1,0,0,0,0,5,12,2,0,2,0,23,6,
6.0.0,android.os.Binder,0,0,0,1,0,1,1,0,0,0,0,9,10,3,0,0,1,26,7,
6.0.0,android.os.Bundle,0,0,1,1,0,0,1,0,0,0,0,17,58,11,0,0,1,90,7,
6.0.0,android.os.RemoteException,0,1,0,0,0,1,0,0,0,0,0,0,3,3,0,0,1,9,5,
6.0.0,android.app.activity.ServiceTest,0,0,0,1,0,1,1,0,0,1,0,6,6,0,0,0,0,16,6,
6.0.0,android.webkit.WebStorage,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,
6.0.0,android.webkit.WebStorage.Origin,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,2,
6.0.0,android.webkit.WebViewFactory,0,0,1,1,0,0,1,0,0,0,0,14,16,0,0,0,0,33,5,
6.0.0,com.android.test.layout.Activity5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
6.0.0,android.app.Activity,1,0,1,1,1,0,1,0,0,0,1,141,184,26,0,2,0,359,10,
